Uid,Sid,Key,Time,Category,Value,UpdateTime
8179717515,786311415,outdoor_walking,1729437700,walking,"{""did"":""786311415"",""steps"":3862,""hrm_extreme_duration"":0,""train_load"":25,""calories"":118,""aerobic_train_effect_level"":2,""cloud_course_source"":0,""avg_hrm"":111,""total_cal"":163,""recover_time"":71,""hrm_warm_up_duration"":1742,""proto_type"":22,""hrm_anaerobic_duration"":273,""target_value"":{},""hrm_fat_burning_duration"":471,""max_speed"":6.552,""hrm_aerobic_duration"":200,""designated_course"":0,""start_time"":1729437700,""min_pace"":1428,""min_hrm"":77,""vitality"":8,""time"":1729437700,""version"":4,""distance"":2703,""max_cadence"":132,""max_pace"":555,""duration"":3334,""max_hrm"":164,""sport_type"":2,""end_time"":1729441322,""train_load_level"":1,""timezone"":8,""train_effect"":1.8}",1729445542
8179717515,786311415,free_training,1729522460,free_training,"{""train_load"":19,""max_hrm"":165,""sport_type"":8,""min_hrm"":96,""aerobic_train_effect_level"":2,""hrm_aerobic_duration"":505,""vitality"":6,""train_load_level"":1,""hrm_fat_burning_duration"":475,""train_effect"":1.6,""hrm_anaerobic_duration"":70,""start_time"":1729522460,""timezone"":8,""total_cal"":128,""version"":8,""cloud_course_source"":0,""recover_time"":77,""proto_type"":8,""avg_hrm"":132,""valid_duration"":1251,""target_value"":{},""hrm_extreme_duration"":0,""switch_just_dance_id"":1729522460,""end_time"":1729523712,""calories"":111,""duration"":1251,""hrm_warm_up_duration"":184,""did"":""786311415"",""time"":1729522460}",1729523719
8179717515,786311415,weight_lifting,1729523777,weight_lifting,"{""train_effect"":1.2,""avg_hrm"":88,""hrm_warm_up_duration"":97,""hrm_aerobic_duration"":0,""hrm_fat_burning_duration"":3,""timezone"":8,""recover_time"":77,""end_time"":1729524503,""switch_just_dance_id"":1729523777,""sport_type"":315,""aerobic_train_effect_level"":2,""did"":""786311415"",""max_hrm"":117,""duration"":726,""hrm_anaerobic_duration"":0,""valid_duration"":726,""target_value"":{},""total_cal"":32,""time"":1729523777,""train_load"":1,""vitality"":1,""hrm_extreme_duration"":0,""proto_type"":8,""min_hrm"":78,""start_time"":1729523777,""cloud_course_source"":0,""version"":8,""train_load_level"":1,""calories"":22}",1729524508
8179717515,786311415,lower_limb_training,1729524572,lower_limb_training,"{""hrm_extreme_duration"":32,""train_load"":33,""total_cal"":178,""proto_type"":8,""cloud_course_source"":0,""duration"":1596,""hrm_anaerobic_duration"":285,""sport_type"":321,""train_effect"":2,""aerobic_train_effect_level"":3,""anaerobic_train_effect_level"":1,""hrm_aerobic_duration"":629,""hrm_fat_burning_duration"":556,""anaerobic_train_effect"":0.3,""did"":""786311415"",""switch_just_dance_id"":1729524572,""target_value"":{},""hrm_warm_up_duration"":75,""min_hrm"":95,""version"":8,""train_load_level"":2,""avg_hrm"":139,""recover_time"":96,""valid_duration"":1596,""end_time"":1729526169,""time"":1729524572,""start_time"":1729524572,""max_hrm"":175,""calories"":157,""vitality"":8,""timezone"":8}",1729526174
8179717515,786311415,aerobics,1729609731,aerobics,"{""recover_time"":96,""aerobic_train_effect_level"":4,""min_hrm"":106,""avg_hrm"":157,""vitality"":12,""train_effect"":3.2,""version"":8,""max_hrm"":171,""timezone"":8,""duration"":1910,""valid_duration"":1910,""total_cal"":259,""hrm_extreme_duration"":0,""time"":1729609731,""hrm_aerobic_duration"":275,""hrm_anaerobic_duration"":1569,""start_time"":1729609731,""train_load"":80,""hrm_warm_up_duration"":10,""train_load_level"":3,""cloud_course_source"":0,""did"":""786311415"",""end_time"":1729611642,""proto_type"":8,""sport_type"":310,""switch_just_dance_id"":1729609731,""calories"":233,""hrm_fat_burning_duration"":39,""target_value"":{}}",1729611647
8179717515,786311415,core_training,1729611687,core_training,"{""train_load"":8,""train_load_level"":1,""total_cal"":71,""train_effect"":1.3,""hrm_fat_burning_duration"":372,""hrm_warm_up_duration"":270,""start_time"":1729611687,""recover_time"":96,""calories"":61,""proto_type"":8,""target_value"":{},""timezone"":8,""max_hrm"":145,""version"":8,""switch_just_dance_id"":1729611687,""duration"":812,""time"":1729611687,""hrm_extreme_duration"":0,""hrm_anaerobic_duration"":0,""valid_duration"":812,""sport_type"":303,""end_time"":1729612499,""min_hrm"":97,""aerobic_train_effect_level"":2,""avg_hrm"":121,""vitality"":1,""did"":""786311415"",""hrm_aerobic_duration"":154,""cloud_course_source"":0}",1729612505
8179717515,786311415,lower_limb_training,1729612532,lower_limb_training,"{""end_time"":1729613971,""switch_just_dance_id"":1729612532,""hrm_fat_burning_duration"":14,""timezone"":8,""total_cal"":85,""calories"":66,""min_hrm"":77,""version"":8,""time"":1729612532,""duration"":1438,""hrm_anaerobic_duration"":0,""avg_hrm"":98,""target_value"":{},""sport_type"":321,""recover_time"":96,""hrm_warm_up_duration"":877,""aerobic_train_effect_level"":2,""start_time"":1729612532,""proto_type"":8,""valid_duration"":1438,""max_hrm"":122,""train_effect"":1.3,""train_load_level"":1,""did"":""786311415"",""hrm_aerobic_duration"":0,""vitality"":1,""hrm_extreme_duration"":0,""cloud_course_source"":0,""train_load"":5}",1729617564
8179717515,786311415,outdoor_walking,1729760348,walking,"{""min_pace"":1428,""hrm_fat_burning_duration"":214,""hrm_warm_up_duration"":655,""steps"":1599,""version"":4,""distance"":1118,""start_time"":1729760348,""aerobic_train_effect_level"":2,""timezone"":8,""proto_type"":22,""duration"":1084,""recover_time"":56,""target_value"":{},""max_speed"":6.3,""hrm_anaerobic_duration"":0,""hrm_extreme_duration"":0,""max_pace"":588,""train_load_level"":1,""sport_type"":2,""time"":1729760348,""train_effect"":1.3,""max_hrm"":121,""did"":""786311415"",""calories"":33,""train_load"":6,""end_time"":1729761433,""designated_course"":0,""hrm_aerobic_duration"":0,""max_cadence"":138,""cloud_course_source"":0,""avg_hrm"":107,""min_hrm"":84,""total_cal"":48}",1730039978
8179717515,786311415,outdoor_walking,1729764259,walking,"{""min_hrm"":76,""avg_hrm"":107,""steps"":1724,""version"":4,""hrm_warm_up_duration"":857,""duration"":1251,""calories"":38,""did"":""786311415"",""train_load"":7,""min_pace"":1428,""hrm_anaerobic_duration"":0,""designated_course"":0,""proto_type"":22,""cloud_course_source"":0,""train_load_level"":1,""time"":1729764259,""distance"":1206,""max_pace"":555,""target_value"":{},""timezone"":8,""end_time"":1729765510,""sport_type"":2,""recover_time"":55,""hrm_aerobic_duration"":0,""aerobic_train_effect_level"":2,""train_effect"":1.3,""max_cadence"":150,""start_time"":1729764259,""max_speed"":6.516,""hrm_fat_burning_duration"":207,""max_hrm"":127,""hrm_extreme_duration"":0,""total_cal"":55}",1730039978
8179717515,786311415,aerobics,1729775108,aerobics,"{""min_hrm"":79,""total_cal"":218,""version"":8,""hrm_warm_up_duration"":60,""duration"":1669,""calories"":196,""did"":""786311415"",""train_load"":60,""anaerobic_train_effect"":0.3,""hrm_anaerobic_duration"":1257,""proto_type"":8,""cloud_course_source"":0,""train_load_level"":2,""time"":1729775108,""target_value"":{},""timezone"":8,""end_time"":1729776778,""sport_type"":310,""recover_time"":96,""vitality"":7,""hrm_aerobic_duration"":206,""aerobic_train_effect_level"":3,""train_effect"":2.7,""start_time"":1729775108,""hrm_fat_burning_duration"":88,""anaerobic_train_effect_level"":1,""max_hrm"":172,""switch_just_dance_id"":1729775108,""valid_duration"":1669,""hrm_extreme_duration"":0,""avg_hrm"":153}",1730039978
